best_scores,best_parameters,report,time,model,feature_set,tfidf_words,timewindow,step,MoodslideWindow
0.6840882694541232,"{'clf__classifier__C': 1.0, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'rbf'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.409091   0.666667       0.5   0.537879      0.568182
recall      0.692308   0.380952       0.5   0.536630      0.500000
f1-score    0.514286   0.484848       0.5   0.499567      0.496104
support    13.000000  21.000000       0.5  34.000000     34.000000",2020-01-05 01:02:04.499179,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic', 'moodTransitions']",2000,14,3,30_days
0.6842044134727062,"{'clf__classifier__C': 0.9, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'rbf'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.450000   0.714286  0.558824   0.582143      0.613235
recall      0.692308   0.476190  0.558824   0.584249      0.558824
f1-score    0.545455   0.571429  0.558824   0.558442      0.561497
support    13.000000  21.000000  0.558824  34.000000     34.000000",2020-01-05 01:26:28.531701,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic', 'moodTransitions_momentum']",2000,14,3,30_days
0.6745644599303137,"{'clf__classifier__C': 1.5, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'rbf'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.450000   0.714286  0.558824   0.582143      0.613235
recall      0.692308   0.476190  0.558824   0.584249      0.558824
f1-score    0.545455   0.571429  0.558824   0.558442      0.561497
support    13.000000  21.000000  0.558824  34.000000     34.000000",2020-01-05 01:51:43.416640,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic', 'moodTransitions', 'moodTransitions_momentum']",2000,14,3,30_days
0.664808362369338,"{'clf__classifier__C': 1.5, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'sigmoid'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.391304   0.636364  0.470588   0.513834      0.542664
recall      0.692308   0.333333  0.470588   0.512821      0.470588
f1-score    0.500000   0.437500  0.470588   0.468750      0.461397
support    13.000000  21.000000  0.470588  34.000000     34.000000",2020-01-05 02:17:57.375665,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic', 'mood', ""moodChange'"", 'moodTransitions', 'moodTransitions_momentum']",2000,14,3,30_days
0.6840882694541232,"{'clf__classifier__C': 1.0, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'rbf'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.409091   0.666667       0.5   0.537879      0.568182
recall      0.692308   0.380952       0.5   0.536630      0.500000
f1-score    0.514286   0.484848       0.5   0.499567      0.496104
support    13.000000  21.000000       0.5  34.000000     34.000000",2020-01-05 02:49:09.587440,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic', 'moodTransitions']",2000,30,3,30_days
0.6842044134727062,"{'clf__classifier__C': 0.9, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'rbf'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.450000   0.714286  0.558824   0.582143      0.613235
recall      0.692308   0.476190  0.558824   0.584249      0.558824
f1-score    0.545455   0.571429  0.558824   0.558442      0.561497
support    13.000000  21.000000  0.558824  34.000000     34.000000",2020-01-05 03:13:44.155385,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic', 'moodTransitions_momentum']",2000,30,3,30_days
0.6745644599303137,"{'clf__classifier__C': 1.5, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'rbf'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.450000   0.714286  0.558824   0.582143      0.613235
recall      0.692308   0.476190  0.558824   0.584249      0.558824
f1-score    0.545455   0.571429  0.558824   0.558442      0.561497
support    13.000000  21.000000  0.558824  34.000000     34.000000",2020-01-05 03:39:01.307273,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic', 'moodTransitions', 'moodTransitions_momentum']",2000,30,3,30_days
0.6698025551684089,"{'clf__classifier__C': 1.5, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'rbf'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.388889   0.625000       0.5   0.506944      0.534722
recall      0.538462   0.476190       0.5   0.507326      0.500000
f1-score    0.451613   0.540541       0.5   0.496077      0.506539
support    13.000000  21.000000       0.5  34.000000     34.000000",2020-01-05 04:05:27.892634,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic', 'mood', ""moodChange'"", 'moodTransitions', 'moodTransitions_momentum']",2000,30,3,30_days
0.6843205574912892,"{'clf__classifier__C': 0.9, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'rbf'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.437500   0.666667  0.558824   0.552083      0.579044
recall      0.538462   0.571429  0.558824   0.554945      0.558824
f1-score    0.482759   0.615385  0.558824   0.549072      0.564675
support    13.000000  21.000000  0.558824  34.000000     34.000000",2020-01-05 13:06:40.304616,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic']",2000,14,3,30_days
0.6744483159117306,"{'clf__classifier__C': 2.0, 'clf__classifier__class_weight': 'balanced', 'clf__classifier__gamma': 0.0001, 'clf__classifier__kernel': 'sigmoid'}","                   0          1  accuracy  macro avg  weighted avg
precision   0.500000   0.750000  0.617647   0.625000      0.654412
recall      0.692308   0.571429  0.617647   0.631868      0.617647
f1-score    0.580645   0.648649  0.617647   0.614647      0.622647
support    13.000000  21.000000  0.617647  34.000000     34.000000",2020-01-05 13:32:04.006693,sklearn.svm.SVC,"['liwc', 'sentiment', 'topic', 'mood']",2000,14,3,30_days
